Date,Open,High,Low,Close,Volume
6/16/2015,528.4,529.64,525.56,528.15,"1,071,800"
6/17/2015,529.37,530.98,525.1,529.26,"1,294,200"
6/18/2015,531,538.15,530.79,536.73,"1,833,100"
6/19/2015,537.21,538.25,533.01,536.69,"1,893,500"
6/22/2015,539.59,543.74,537.53,538.19,"1,250,300"
6/23/2015,539.64,541.5,535.25,540.48,"1,197,500"
6/24/2015,540,540,535.66,537.84,"1,286,600"
6/25/2015,538.87,540.9,535.23,535.23,"1,335,700"
6/26/2015,537.26,537.76,531.35,531.69,"2,109,100"
6/29/2015,525.01,528.61,520.54,521.52,"1,937,800"
6/30/2015,526.02,526.25,520.5,520.51,"2,217,200"
7/1/2015,524.73,525.69,518.23,521.84,"1,961,000"
7/2/2015,521.08,524.65,521.08,523.4,"1,235,900"
7/6/2015,519.5,525.25,519,522.86,"1,280,500"
7/7/2015,523.13,526.18,515.18,525.02,"1,597,200"
7/8/2015,521.05,522.73,516.11,516.83,"1,296,700"
7/9/2015,523.12,523.77,520.35,520.68,"1,839,400"
7/10/2015,526.29,532.56,525.55,530.13,"1,956,700"
7/13/2015,532.88,547.11,532.4,546.55,"2,206,500"
7/14/2015,546.76,565.85,546.71,561.1,"3,244,100"
7/15/2015,560.13,566.5,556.79,560.22,"1,784,600"
7/16/2015,565.12,580.68,565,579.85,"4,768,300"
7/17/2015,649,674.47,645,672.93,"11,164,900"
7/20/2015,659.24,668.88,653.01,663.02,"5,860,900"
7/21/2015,655.21,673,654.3,662.3,"3,377,200"
7/22/2015,660.89,678.64,659,662.1,"3,929,300"
7/23/2015,661.27,663.63,641,644.28,"3,029,100"
7/24/2015,647,648.17,622.52,623.56,"3,625,700"
7/27/2015,621,634.3,620.5,627.26,"2,675,400"
7/28/2015,632.83,632.83,623.31,628,"1,727,300"
7/29/2015,628.8,633.36,622.65,631.93,"1,575,100"
7/30/2015,630,635.22,622.05,632.59,"1,474,200"
7/31/2015,631.38,632.91,625.5,625.61,"1,706,100"
8/3/2015,625.34,633.06,625.34,631.21,"1,304,500"
8/4/2015,628.42,634.81,627.16,629.25,"1,490,900"
8/5/2015,634.33,647.86,633.16,643.78,"2,334,300"
8/6/2015,645,645.38,632.25,642.68,"1,572,600"
8/7/2015,640.23,642.68,629.71,635.3,"1,403,900"
8/10/2015,639.48,643.44,631.25,633.73,"1,809,200"
8/11/2015,669.2,674.9,654.27,660.78,"5,029,200"
8/12/2015,663.08,665,652.29,659.56,"2,936,700"
8/13/2015,659.32,664.5,651.66,656.45,"1,810,700"
8/14/2015,655.01,659.85,652.66,657.12,"1,072,100"
8/17/2015,656.8,661.38,651.24,660.87,"1,051,700"
8/18/2015,661.9,664,653.46,656.13,"1,456,100"
8/19/2015,656.6,667,654.19,660.9,"2,131,600"
8/20/2015,655.46,662.99,642.9,646.83,"2,855,300"
8/21/2015,639.78,640.05,612.33,612.48,"4,265,200"
8/24/2015,573,599.33,565.05,589.61,"5,770,300"
8/25/2015,614.91,617.45,581.11,582.06,"3,538,000"
8/26/2015,610.35,631.71,599.05,628.62,"4,235,900"
8/27/2015,639.4,643.59,622,637.61,"3,491,300"
8/28/2015,632.82,636.88,624.56,630.38,"1,978,700"
8/31/2015,627.54,635.8,617.68,618.25,"2,176,700"
9/1/2015,602.36,612.86,594.1,597.79,"3,702,100"
9/2/2015,605.59,614.34,599.71,614.34,"2,575,600"
9/3/2015,617,619.71,602.82,606.25,"1,759,600"
9/4/2015,600,603.47,595.25,600.7,"2,089,000"
9/8/2015,612.49,616.31,604.12,614.66,"2,279,500"
9/9/2015,621.22,626.52,609.6,612.72,"1,702,100"
9/10/2015,613.1,624.16,611.43,621.35,"1,905,300"
9/11/2015,619.75,625.78,617.42,625.77,"1,373,500"
9/14/2015,625.7,625.86,619.43,623.24,"1,702,300"
9/15/2015,626.7,638.7,623.78,635.14,"2,084,400"
9/16/2015,635.47,637.95,632.32,635.98,"1,286,500"
9/17/2015,637.79,650.9,635.02,642.9,"2,274,700"
9/18/2015,636.79,640,627.02,629.25,"5,133,400"
9/21/2015,634.4,636.49,625.94,635.44,"1,788,500"
9/22/2015,627,627.55,615.43,622.69,"2,562,900"
9/23/2015,622.05,628.93,620,622.36,"1,470,900"
9/24/2015,616.64,627.32,612.4,625.8,"2,240,100"
9/25/2015,629.77,629.77,611,611.97,"2,174,000"
9/28/2015,610.34,614.6,589.38,594.89,"3,127,700"
9/29/2015,597.28,605,590.22,594.97,"2,309,500"
9/30/2015,603.28,608.76,600.73,608.42,"2,413,400"
10/1/2015,608.37,612.09,599.85,611.29,"1,867,600"
10/2/2015,607.2,627.34,603.13,626.91,"2,684,800"
10/5/2015,632,643.01,627,641.47,"1,803,600"
10/6/2015,638.84,649.25,636.53,645.44,"2,166,300"
10/7/2015,649.24,650.61,632.15,642.36,"2,092,700"
10/8/2015,641.36,644.45,625.56,639.16,"2,182,100"
10/9/2015,640,645.99,635.32,643.61,"1,648,700"
10/12/2015,642.09,648.5,639.01,646.67,"1,275,200"
